id,year,month,total_decedents,male,female,transgender_non_binary_two_spirit,male_ratio,female_ratio,other_ratio
1,2007,Jan,0,0,0,NA,NA,NA,NA
2,2007,Feb,3,3,0,NA,1,0,NA
3,2007,Mar,3,2,1,NA,0.6666666666666666,0.3333333333333333,NA
4,2007,Apr,1,1,0,NA,1,0,NA
5,2007,May,2,2,0,NA,1,0,NA
6,2007,Jun,3,3,0,NA,1,0,NA
7,2007,Jul,2,2,0,NA,1,0,NA
8,2007,Aug,2,2,0,NA,1,0,NA
9,2007,Sep,2,2,0,NA,1,0,NA
10,2007,Oct,3,2,1,NA,0.6666666666666666,0.3333333333333333,NA
11,2007,Nov,1,1,0,NA,1,0,NA
12,2007,Dec,2,2,0,NA,1,0,NA
13,2008,Jan,3,2,1,NA,0.6666666666666666,0.3333333333333333,NA
14,2008,Feb,4,3,1,NA,0.75,0.25,NA
15,2008,Mar,1,0,1,NA,0,1,NA
16,2008,Apr,0,0,0,NA,NA,NA,NA
17,2008,May,0,0,0,NA,NA,NA,NA
18,2008,Jun,6,4,2,NA,0.6666666666666666,0.3333333333333333,NA
19,2008,Jul,6,5,1,NA,0.8333333333333334,0.16666666666666666,NA
20,2008,Aug,2,2,0,NA,1,0,NA
21,2008,Sep,1,0,1,NA,0,1,NA
22,2008,Oct,1,1,0,NA,1,0,NA
23,2008,Nov,1,1,0,NA,1,0,NA
24,2008,Dec,1,1,0,NA,1,0,NA
25,2009,Jan,1,1,0,NA,1,0,NA
26,2009,Feb,3,2,1,NA,0.6666666666666666,0.3333333333333333,NA
27,2009,Mar,1,1,0,NA,1,0,NA
28,2009,Apr,1,1,0,NA,1,0,NA
29,2009,May,1,1,0,NA,1,0,NA
30,2009,Jun,1,1,0,NA,1,0,NA
31,2009,Jul,0,0,0,NA,NA,NA,NA
32,2009,Aug,0,0,0,NA,NA,NA,NA
33,2009,Sep,2,1,1,NA,0.5,0.5,NA
34,2009,Oct,3,3,0,NA,1,0,NA
35,2009,Nov,2,2,0,NA,1,0,NA
36,2009,Dec,1,1,0,NA,1,0,NA
37,2010,Jan,1,0,1,NA,0,1,NA
38,2010,Feb,1,1,0,NA,1,0,NA
39,2010,Mar,0,0,0,NA,NA,NA,NA
40,2010,Apr,0,0,0,NA,NA,NA,NA
41,2010,May,1,1,0,NA,1,0,NA
42,2010,Jun,3,1,2,NA,0.3333333333333333,0.6666666666666666,NA
43,2010,Jul,2,1,1,NA,0.5,0.5,NA
44,2010,Aug,2,1,1,NA,0.5,0.5,NA
45,2010,Sep,0,0,0,NA,NA,NA,NA
46,2010,Oct,2,1,1,NA,0.5,0.5,NA
47,2010,Nov,4,1,3,NA,0.25,0.75,NA
48,2010,Dec,5,4,1,NA,0.8,0.2,NA
49,2011,Jan,1,0,1,NA,0,1,NA
50,2011,Feb,2,1,1,NA,0.5,0.5,NA
51,2011,Mar,2,1,1,NA,0.5,0.5,NA
52,2011,Apr,0,0,0,NA,NA,NA,NA
53,2011,May,4,4,0,NA,1,0,NA
54,2011,Jun,2,1,1,NA,0.5,0.5,NA
55,2011,Jul,0,0,0,NA,NA,NA,NA
56,2011,Aug,1,1,0,NA,1,0,NA
57,2011,Sep,2,2,0,NA,1,0,NA
58,2011,Oct,0,0,0,NA,NA,NA,NA
59,2011,Nov,2,2,0,NA,1,0,NA
60,2011,Dec,5,3,2,NA,0.6,0.4,NA
61,2012,Jan,2,2,0,NA,1,0,NA
62,2012,Feb,2,2,0,NA,1,0,NA
63,2012,Mar,1,1,0,NA,1,0,NA
64,2012,Apr,4,4,0,NA,1,0,NA
65,2012,May,1,1,0,NA,1,0,NA
66,2012,Jun,0,0,0,NA,NA,NA,NA
67,2012,Jul,3,3,0,NA,1,0,NA
68,2012,Aug,0,0,0,NA,NA,NA,NA
69,2012,Sep,1,1,0,NA,1,0,NA
70,2012,Oct,2,2,0,NA,1,0,NA
71,2012,Nov,0,0,0,NA,NA,NA,NA
72,2012,Dec,2,2,0,NA,1,0,NA
73,2013,Jan,2,1,1,NA,0.5,0.5,NA
74,2013,Feb,0,0,0,NA,NA,NA,NA
75,2013,Mar,0,0,0,NA,NA,NA,NA
76,2013,Apr,3,2,1,NA,0.6666666666666666,0.3333333333333333,NA
77,2013,May,2,2,0,NA,1,0,NA
78,2013,Jun,1,1,0,NA,1,0,NA
79,2013,Jul,2,2,0,NA,1,0,NA
80,2013,Aug,1,0,1,NA,0,1,NA
