"year","month","total_death_num","male_death_num","female_death_num","other_death_num"
"2007","Jan",2,1,1,0
"2007","Feb",0,0,0,0
"2007","Mar",2,1,1,0
"2007","Apr",0,0,0,0
"2007","May",2,1,1,0
"2007","Jun",2,1,1,0
"2007","Jul",0,0,0,0
"2007","Aug",2,1,1,0
"2007","Sep",0,0,0,0
"2007","Oct",0,0,0,0
"2007","Nov",3,2,1,0
"2007","Dec",2,1,1,0
"2008","Jan",1,1,0,0
"2008","Feb",0,0,0,0
"2008","Mar",2,1,1,0
"2008","Apr",1,1,0,0
"2008","May",0,0,0,0
"2008","Jun",0,0,0,0
"2008","Jul",0,0,0,0
"2008","Aug",2,1,1,0
"2008","Sep",2,1,1,0
"2008","Oct",0,0,0,0
"2008","Nov",1,1,0,0
"2008","Dec",3,2,1,0
"2009","Jan",0,0,0,0
"2009","Feb",2,1,1,0
"2009","Mar",1,1,0,0
"2009","Apr",1,1,0,0
"2009","May",1,1,0,0
"2009","Jun",1,1,0,0
"2009","Jul",3,2,1,0
"2009","Aug",2,1,1,0
"2009","Sep",2,1,1,0
"2009","Oct",2,1,1,0
"2009","Nov",1,1,0,0
"2009","Dec",1,1,0,0
"2010","Jan",1,1,0,0
"2010","Feb",1,1,0,0
"2010","Mar",1,1,0,0
"2010","Apr",0,0,0,0
"2010","May",0,0,0,0
"2010","Jun",0,0,0,0
"2010","Jul",0,0,0,0
"2010","Aug",3,2,1,0
"2010","Sep",1,1,0,0
"2010","Oct",1,1,0,0
"2010","Nov",0,0,0,0
"2010","Dec",2,1,1,0
"2011","Jan",2,1,1,0
"2011","Feb",0,0,0,0
"2011","Mar",1,1,0,0
"2011","Apr",0,0,0,0
"2011","May",2,1,1,0
"2011","Jun",2,1,1,0
"2011","Jul",0,0,0,0
"2011","Aug",0,0,0,0
"2011","Sep",2,1,1,0
"2011","Oct",1,1,0,0
"2011","Nov",3,2,1,0
"2011","Dec",1,1,0,0
"2012","Jan",2,1,1,0
"2012","Feb",2,1,1,0
"2012","Mar",1,1,0,0
"2012","Apr",0,0,0,0
"2012","May",2,1,1,0
"2012","Jun",1,1,0,0
"2012","Jul",0,0,0,0
"2012","Aug",0,0,0,0
"2012","Sep",1,1,0,0
"2012","Oct",0,0,0,0
"2012","Nov",0,0,0,0
"2012","Dec",2,1,1,0
"2013","Jan",0,0,0,0
"2013","Feb",0,0,0,0
"2013","Mar",1,1,0,0
"2013","Apr",0,0,0,0
"2013","May",1,1,0,0
"2013","Jun",3,2,1,0
"2013","Jul",0,0,0,0
"2013","Aug",0,0,0,0
"2013","Sep",2,1,1,0
"2013","Oct",1,1,0,0
"2013","Nov",0,0,0,0
"2013","Dec",0,0,0,0
"2014","Jan",1,1,0,0
"2014","Feb",1,1,0,0
"2014","Mar",2,1,1,0
"2014","Apr",1,1,0,0
"2014","May",0,0,0,0
"2014","Jun",1,1,0,0
"2014","Jul",1,1,0,0
"2014","Aug",2,1,1,0
"2014","Sep",3,2,1,0
"2014","Oct",1,1,0,0
"2014","Nov",1,1,0,0
"2014","Dec",1,1,0,0
"2015","Jan",0,0,0,0
"2015","Feb",0,0,0,0
"2015","Mar",0,0,0,0
"2015","Apr",1,1,0,0
"2015","May",0,0,0,0
"2015","Jun",3,2,1,0
"2015","Jul",1,1,0,0
"2015","Aug",0,0,0,0
"2015","Sep",2,1,1,0
"2015","Oct",1,1,0,0
"2015","Nov",1,1,0,0
"2015","Dec",0,0,0,0
"2016","Jan",2,1,1,0
"2016","Feb",0,0,0,0
"2016","Mar",0,0,0,0
"2016","Apr",2,1,1,0
"2016","May",0,0,0,0
"2016","Jun",2,1,1,0
"2016","Jul",0,0,0,0
"2016","Aug",0,0,0,0
"2016","Sep",1,1,0,0
"2016","Oct",0,0,0,0
"2016","Nov",0,0,0,0
"2016","Dec",0,0,0,0
"2017","Jan",1,1,0,0
"2017","Feb",1,1,0,0
"2017","Mar",1,1,0,0
"2017","Apr",0,0,0,0
"2017","May",1,1,0,0
"2017","Jun",3,2,1,0
"2017","Jul",0,0,0,0
"2017","Aug",0,0,0,0
"2017","Sep",0,0,0,0
"2017","Oct",1,1,0,0
"2017","Nov",1,1,0,0
"2017","Dec",0,0,0,0
"2018","Jan",0,0,0,0
"2018","Feb",2,1,1,0
"2018","Mar",2,1,1,0
"2018","Apr",0,0,0,0
"2018","May",0,0,0,0
"2018","Jun",2,1,1,0
"2018","Jul",4,3,0,1
"2018","Aug",0,0,0,0
"2018","Sep",3,2,1,0
"2018","Oct",1,1,0,0
"2018","Nov",1,1,0,0
"2018","Dec",0,0,0,0
"2019","Jan",1,1,0,0
"2019","Feb",0,0,0,0
"2019","Mar",2,1,1,0
"2019","Apr",0,0,0,0
"2019","May",2,1,1,0
"2019","Jun",0,0,0,0
"2019","Jul",0,0,0,0
"2019","Aug",0,0,0,0
"2019","Sep",2,1,1,0
"2019","Oct",1,1,0,0
"2019","Nov",2,1,1,0
"2019","Dec",3,2,1,0
"2020","Jan",2,1,1,0
"2020","Feb",2,1,1,0
"2020","Mar",0,0,0,0
"2020","Apr",1,1,0,0
"2020","May",1,1,0,0
"2020","Jun",0,0,0,0
"2020","Jul",1,1,0,0
"2020","Aug",0,0,0,0
"2020","Sep",3,2,1,0
"2020","Oct",1,1,0,0
"2020","Nov",0,0,0,0
"2020","Dec",0,0,0,0
"2021","Jan",2,1,1,0
"2021","Feb",0,0,0,0
"2021","Mar",3,2,1,0
"2021","Apr",1,1,0,0
"2021","May",1,1,0,0
"2021","Jun",1,1,0,0
"2021","Jul",1,1,0,0
"2021","Aug",0,0,0,0
"2021","Sep",0,0,0,0
"2021","Oct",0,0,0,0
"2021","Nov",3,2,1,0
"2021","Dec",1,1,0,0
"2022","Jan",1,1,0,0
"2022","Feb",2,1,1,0
"2022","Mar",1,1,0,0
"2022","Apr",0,0,0,0
"2022","May",1,1,0,0
"2022","Jun",0,0,0,0
"2022","Jul",0,0,0,0
"2022","Aug",0,0,0,0
"2022","Sep",0,0,0,0
"2022","Oct",1,1,0,0
"2022","Nov",1,1,0,0
"2022","Dec",1,1,0,0
"2023","Jan",1,1,0,0
"2023","Feb",1,1,0,0
"2023","Mar",0,0,0,0
"2023","Apr",3,2,1,0
"2023","May",0,0,0,0
"2023","Jun",0,0,0,0
"2023","Jul",2,1,1,0
"2023","Aug",0,0,0,0
"2023","Sep",3,2,1,0
"2023","Oct",1,1,0,0
"2023","Nov",2,1,1,0
"2023","Dec",1,1,0,0
"2024","Jan",2,1,1,0
"2024","Feb",2,1,1,0
"2024","Mar",1,1,0,0
"2024","Apr",3,2,1,0
"2024","May",3,2,1,0
"2024","Jun",2,1,1,0
"2024","Jul",1,1,0,0
"2024","Aug",0,0,0,0
